Image #,R,G,B,C percent by paint vol,M percent by paint vol,Y percent by paint vol,W percent by paint vol,B percent by paint vol
0,125,161,123,25,0,50,25,0
1,138,116,125,14,43,14,29,0
2,106,145,130,20,0,20,60,0
3,139,155,141,9,0,27,64,0
4,130,146,86,7,0,74,15,4
5,200,87,46,0,40,60,0,0
6,210,53,74,0,56,44,0,0
7,84,175,106,25,0,75,0,0
8,163,108,145,10,60,10,20,0
9,150,145,152,17,25,0,58,0
10,102,174,61,9,0,82,9,0
11,50,82,56,50,0,50,0,0
12,165,70,79,0,56,44,0,0
13,172,81,57,0,33,67,0,0
14,179,156,65,0,0,50,50,0
15,186,161,62,0,0,60,40,0
16,154,149,148,9,0,0,91,0
17,106,130,75,11,0,89,0,0
18,71,126,143,29,14,0,57,0
19,43,120,151,33,33,0,33,0
20,48,131,162,33,33,0,33,0
21,93,141,39,18,0,71,11,0
22,145,140,141,9,22,9,61,0
23,161,130,26,9,0,91,0,0
24,195,65,30,0,25,75,0,0
25,200,37,58,0,56,44,0,0
26,57,121,63,48,0,48,5,0
27,118,49,103,14,86,0,0,0
28,46,67,118,50,50,0,0,0
29,137,144,134,9,0,0,91,0
30,165,102,121,4,9,0,87,0
31,175,107,130,4,16,0,80,0
32,149,147,148,5,0,0,91,5
33,107,127,48,11,0,78,11,0
34,176,111,39,0,17,83,0,0
35,136,142,39,6,0,81,13,0
36,148,106,140,12,29,0,59,0
37,73,130,121,17,0,0,83,0
38,172,119,60,0,13,88,0,0
39,74,127,114,33,11,0,56,0
40,152,108,141,20,40,0,40,0
41,153,143,100,0,0,33,67,0
42,109,117,135,29,43,0,29,0
43,141,139,142,0,0,0,97,3
44,194,45,89,0,100,0,0,0
45,160,149,100,2,0,59,39,0
46,104,132,44,9,0,91,0,0
47,142,149,43,4,0,74,22,0
